--------- beginning of /dev/log/main
I/Icing   (26586): Indexing F4FAA6262FE39DDD50BAE6B7AF5CDB8D73BA0DB0 from com.google.android.gms
I/Icing   (26586): Indexing done F4FAA6262FE39DDD50BAE6B7AF5CDB8D73BA0DB0
I/WearableService(  643): Wearable Services stopping
D/AndroidRuntime(31540): 
D/AndroidRuntime(31540): >>>>>> AndroidRuntime START com.android.internal.os.RuntimeInit <<<<<<
D/AndroidRuntime(31540): CheckJNI is OFF
D/dalvikvm(31540): Using executionMode 2
D/dalvikvm(31540): Trying to load lib libjavacore.so 0x0
D/dalvikvm(31540): Added shared lib libjavacore.so 0x0
D/dalvikvm(31540): Trying to load lib libnativehelper.so 0x0
D/dalvikvm(31540): Added shared lib libnativehelper.so 0x0
D/dalvikvm(31540): No JNI_OnLoad found in libnativehelper.so 0x0, skipping init
D/dalvikvm(31540): Note: class Landroid/app/ActivityManagerNative; has 179 unimplemented (abstract) methods
E/memtrack(31540): Couldn't load memtrack module (No such file or directory)
E/android.os.Debug(31540): failed to load memtrack module: -2
D/AndroidRuntime(31540): Calling main entry com.android.commands.monkey.Monkey
--------- beginning of /dev/log/system
W/BroadcastQueue(  346): Skipping deliver [background] BroadcastRecord{4b1b3978 u-1 android.net.conn.CONNECTIVITY_CHANGE} to ReceiverList{4ae49894 31540 (unknown name)/0/u-1 remote:4abc2cb8}: process crashing
I/ActivityManager(  346): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.windyty.android/com.windyty.StartActivity} from pid 31540
I/ActivityManager(  346): Start proc com.windyty.android for activity com.windyty.android/com.windyty.StartActivity: pid=31550 uid=10092 gids={50092, 3003}
W/NetworkManagementSocketTagger(  346): setKernelCountSet(10092, 1) failed with errno -13
I/dalvikvm(31550): ignoring registerObject request in thread=1
I/dalvikvm(31550): ignoring registerObject request in thread=1
W/Resources(31550): Converting to string: TypedValue{t=0x10/d=0x1 a=-1}
W/Resources(31550): Converting to string: TypedValue{t=0x10/d=0x1 a=-1}
W/Resources(31550): Converting to string: TypedValue{t=0x10/d=0x0 a=-1}
W/Resources(31550): Converting to string: TypedValue{t=0x10/d=0x0 a=-1}
I/dalvikvm(31550): Could not find method android.preference.DialogPreference.<init>, referenced from method com.windyty.gui.MyDialogPreference.<init>
W/dalvikvm(31550): VFY: unable to resolve direct method 1270: Landroid/preference/DialogPreference;.<init> (Landroid/content/Context;)V
D/dalvikvm(31550): VFY: replacing opcode 0x70 at 0x0000
D/dalvikvm(31550): JIT code cache reset in 0 ms (0 bytes 1/0)
D/dalvikvm(31550): GC_CONCURRENT freed 227K, 9% free 2969K/3256K, paused 5ms+2ms, total 9ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 16% free 3031K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3031K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3032K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3032K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3032K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3033K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 15% free 3033K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3034K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3034K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3034K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3035K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 15% free 3035K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3036K/3568K, paused 4ms, total 4ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3036K/3568K, paused 1ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3036K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3037K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 15% free 3037K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3037K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3038K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3038K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3038K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3039K/3568K, paused 1ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 15% free 3039K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3039K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3040K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3040K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3041K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 15% free 3041K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3041K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3042K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3042K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3042K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 15% free 3043K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3043K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3044K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3044K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3044K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3045K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 15% free 3045K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3045K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3046K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3046K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3046K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 15% free 3047K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3047K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3048K/3568K, paused 4ms, total 4ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3048K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3048K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 15% free 3049K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3049K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3049K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3050K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3050K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3050K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 15% free 3051K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3051K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3052K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3052K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3052K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 15% free 3053K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3053K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3054K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3054K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3054K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 15% free 3055K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3055K/3568K, paused 2ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3056K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3057K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3057K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3057K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 304K, 15% free 3058K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3058K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3059K/3568K, paused 1ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3059K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3059K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3060K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3060K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3060K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3061K/3568K, paused 1ms, total 1ms
D/libEGL  (31550): loaded /system/lib/egl/libEGL_adreno.so
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3061K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 15% free 3061K/3568K, paused 2ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3062K/3568K, paused 2ms, total 2ms
D/        (31550): HostConnection::get() New Host Connection established 0xb7a1dc90, tid 31550
D/libEGL  (31550): loaded /system/lib/egl/libGLESv1_CM_adreno.so
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3062K/3568K, paused 3ms, total 3ms
D/libEGL  (31550): loaded /system/lib/egl/libGLESv2_adreno.so
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 15% free 3063K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3063K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3063K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3064K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3064K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3064K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3065K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3065K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 15% free 3065K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3066K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3066K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3066K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3067K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3067K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3068K/3568K, paused 4ms, total 5ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3068K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 14% free 3068K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 14% free 3069K/3568K, paused 3ms, total 3ms
W/EGL_emulation(31550): eglSurfaceAttrib not implemented 3093 12436
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 14% free 3069K/3568K, paused 4ms, total 4ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 14% free 3069K/3568K, paused 3ms, total 3ms
D/OpenGLRenderer(31550): Enabling debug mode 0
D/dalvikvm(31550): GC_FOR_ALLOC freed 335K, 15% free 3043K/3568K, paused 1ms, total 1ms
W/ViewRootImpl(31550): Dropping event due to no window focus: KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_MENU, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=5368480, downTime=5368480, deviceId=-1, source=0x101 }
I/ActivityManager(  346): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.windyty.android/com.windyty.StartActivity} from pid 31540
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 15% free 3043K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3043K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3044K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3044K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3044K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3044K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3044K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3044K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 15% free 3044K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3045K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3045K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3045K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3045K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3045K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3045K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3046K/3568K, paused 1ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3046K/3568K, paused 1ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3046K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3047K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 15% free 3047K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3048K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3048K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3048K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3049K/3568K, paused 1ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3049K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3049K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3050K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3050K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3051K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3051K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 15% free 3051K/3568K, paused 1ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3052K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3052K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3052K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3053K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3053K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3053K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3054K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3054K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3054K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 15% free 3055K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3055K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 15% free 3056K/3568K, paused 2ms, total 2ms
