--------- beginning of /dev/log/main
I/Icing   (  746): Indexing 9EBFE84EABD9270B25A97439CA522B4FC49A4875 from com.google.android.gms
I/Icing   (  746): Indexing done 9EBFE84EABD9270B25A97439CA522B4FC49A4875
D/AndroidRuntime(18928): 
D/AndroidRuntime(18928): >>>>>> AndroidRuntime START com.android.internal.os.RuntimeInit <<<<<<
D/AndroidRuntime(18928): CheckJNI is OFF
D/dalvikvm(18928): Using executionMode 2
D/dalvikvm(18928): Trying to load lib libjavacore.so 0x0
D/dalvikvm(18928): Added shared lib libjavacore.so 0x0
D/dalvikvm(18928): Trying to load lib libnativehelper.so 0x0
D/dalvikvm(18928): Added shared lib libnativehelper.so 0x0
D/dalvikvm(18928): No JNI_OnLoad found in libnativehelper.so 0x0, skipping init
D/dalvikvm(18928): Note: class Landroid/app/ActivityManagerNative; has 179 unimplemented (abstract) methods
E/memtrack(18928): Couldn't load memtrack module (No such file or directory)
E/android.os.Debug(18928): failed to load memtrack module: -2
D/AndroidRuntime(18928): Calling main entry com.android.commands.monkey.Monkey
--------- beginning of /dev/log/system
W/BroadcastQueue(  470): Skipping deliver [background] BroadcastRecord{4b018b94 u-1 android.net.conn.CONNECTIVITY_CHANGE} to ReceiverList{4b08806c 18928 (unknown name)/0/u-1 remote:4aab7928}: process crashing
I/ActivityManager(  470): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=ipnossoft.rma.free/ipnossoft.rma.RelaxMelodiesActivityFree} from pid 18928
W/NetworkManagementSocketTagger(  470): setKernelCountSet(10076, 1) failed with errno -13
I/ActivityManager(  470): Start proc ipnossoft.rma.free for activity ipnossoft.rma.free/ipnossoft.rma.RelaxMelodiesActivityFree: pid=18938 uid=10076 gids={50076, 3003, 1028, 1015, 1023}
I/ActivityManager(  470): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10200000 cmp=com.vphone.launcher/.Launcher} from pid 556
I/dalvikvm(18938): ignoring registerObject request in thread=1
I/dalvikvm(18938): ignoring registerObject request in thread=1
W/ResourceType(  470): Skipping entry 0x7f05000e in package table 0 because it is not complex!
W/ResourceType(  470): Skipping entry 0x7f05000f in package table 0 because it is not complex!
D/dalvikvm(18938): JIT code cache reset in 0 ms (0 bytes 1/0)
D/dalvikvm(18938): GC_FOR_ALLOC freed 74K, 5% free 2912K/3048K, paused 5ms, total 5ms
I/dalvikvm-heap(18938): Grow heap (frag case) to 4.367MB for 1536012-byte allocation
D/dalvikvm(18938): GC_FOR_ALLOC freed <1K, 4% free 4412K/4552K, paused 10ms, total 10ms
D/dalvikvm(18938): GC_CONCURRENT freed 8K, 3% free 4420K/4552K, paused 2ms+1ms, total 8ms
V/WebViewChromium(18938): Binding Chromium to the main looper Looper (main, tid 1) {4a7acdf0}
I/chromium(18938): [INFO:library_loader_hooks.cc(112)] Chromium logging enabled: level = 0, default verbosity = 0
I/BrowserProcessMain(18938): Initializing chromium process, renderers=0
W/chromium(18938): [WARNING:proxy_service.cc(888)] PAC support disabled because there is no system implementation
D/libEGL  (18938): loaded /system/lib/egl/libEGL_adreno.so
D/        (18938): HostConnection::get() New Host Connection established 0xb8e5dc40, tid 18938
D/libEGL  (18938): loaded /system/lib/egl/libGLESv1_CM_adreno.so
D/libEGL  (18938): loaded /system/lib/egl/libGLESv2_adreno.so
D/dalvikvm(18938): GC_FOR_ALLOC freed 202K, 6% free 4598K/4864K, paused 3ms, total 3ms
I/dalvikvm-heap(18938): Grow heap (frag case) to 5.155MB for 635808-byte allocation
D/dalvikvm(18938): GC_FOR_ALLOC freed <1K, 5% free 5219K/5488K, paused 3ms, total 5ms
D/dalvikvm(18938): GC_CONCURRENT freed <1K, 5% free 5218K/5488K, paused 1ms+0ms, total 3ms
D/MoPub   (18938): Failed to retrieve GPS location: access appears to be disabled.
D/RelaxMelodiesActivity(18938): Creating IAB helper.
D/RelaxMelodiesActivity(18938): Starting setup.
D/dalvikvm(18938): GC_FOR_ALLOC freed 104K, 3% free 5488K/5656K, paused 4ms, total 4ms
D/dalvikvm(18938): GC_CONCURRENT freed 11K, 3% free 6236K/6372K, paused 2ms+0ms, total 4ms
W/Finsky  (  920): [45] com.google.android.finsky.billing.iab.ab.b(48): ipnossoft.rma.free: No account found.
W/FlurryAgent(18938): Start session with context: ipnossoft.rma.SoundManager@4a9680e8 count:0
W/EGL_emulation(18938): eglSurfaceAttrib not implemented 3093 12436
D/OpenGLRenderer(18938): Enabling debug mode 0
E/InputEventReceiver(18938): Exception dispatching input event.
E/MessageQueue-JNI(18938): Exception in MessageQueue callback: handleReceiveCallback
W/ViewRootImpl(18938): Dropping event due to no window focus: KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_DOWN, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=2556367, downTime=2556367, deviceId=-1, source=0x101 }
W/ViewRootImpl(18938): Dropping event due to no window focus: KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_RIGHT, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=2556716, downTime=2556716, deviceId=-1, source=0x101 }
E/MessageQueue-JNI(18938): java.lang.IndexOutOfBoundsException: Invalid index 0, size is 0
E/MessageQueue-JNI(18938): 	at java.util.ArrayList.throwIndexOutOfBoundsException(ArrayList.java:255)
E/AndroidRuntime(18938): 	at java.util.ArrayList.throwIndexOutOfBoundsException(ArrayList.java:255)
E/AndroidRuntime(18938): 	at java.util.ArrayList.get(ArrayList.java:308)
E/AndroidRuntime(18938): 	at android.support.v4.view.ViewPager.b(dalvik_source_ipnossoft.rma.free.apk)
E/AndroidRuntime(18938): 	at com.viewpagerindicator.CirclePageIndicator.onTouchEvent(dalvik_source_ipnossoft.rma.free.apk)
E/AndroidRuntime(18938): 	at android.view.View.dispatchTouchEvent(View.java:7706)
E/AndroidRuntime(18938): 	at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2216)
E/AndroidRuntime(18938): 	at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:1959)
E/AndroidRuntime(18938): 	at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2216)
E/AndroidRuntime(18938): 	at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:1959)
E/AndroidRuntime(18938): 	at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2216)
E/AndroidRuntime(18938): 	at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:1959)
E/AndroidRuntime(18938): 	at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2216)
E/AndroidRuntime(18938): 	at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:1959)
E/AndroidRuntime(18938): 	at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2216)
E/AndroidRuntime(18938): 	at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:1959)
E/AndroidRuntime(18938): 	at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2216)
E/AndroidRuntime(18938): 	at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:1959)
E/AndroidRuntime(18938): 	at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2216)
E/AndroidRuntime(18938): 	at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:1959)
E/AndroidRuntime(18938): 	at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2216)
E/AndroidRuntime(18938): 	at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:1959)
E/AndroidRuntime(18938): 	at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2216)
E/AndroidRuntime(18938): 	at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:1959)
E/AndroidRuntime(18938): 	at com.android.internal.policy.impl.PhoneWindow$DecorView.superDispatchTouchEvent(PhoneWindow.java:2068)
E/AndroidRuntime(18938): 	at com.android.internal.policy.impl.PhoneWindow.superDispatchTouchEvent(PhoneWindow.java:1515)
E/AndroidRuntime(18938): 	at android.app.Activity.dispatchTouchEvent(Activity.java:2458)
E/AndroidRuntime(18938): 	at android.support.v7.app.j.dispatchTouchEvent(dalvik_source_ipnossoft.rma.free.apk)
E/AndroidRuntime(18938): 	at com.android.internal.policy.impl.PhoneWindow$DecorView.dispatchTouchEvent(PhoneWindow.java:2016)
E/AndroidRuntime(18938): 	at android.view.View.dispatchPointerEvent(View.java:7886)
E/AndroidRuntime(18938): 	at android.view.ViewRootImpl$ViewPostImeInputStage.processPointerEvent(ViewRootImpl.java:3978)
E/AndroidRuntime(18938): 	at android.view.ViewRootImpl$ViewPostImeInputStage.onProcess(ViewRootImpl.java:3857)
E/AndroidRuntime(18938): 	at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3423)
E/AndroidRuntime(18938): 	at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:3473)
E/AndroidRuntime(18938): 	at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:3442)
E/AndroidRuntime(18938): 	at android.view.ViewRootImpl$AsyncInputStage.forward(ViewRootImpl.java:3549)
E/AndroidRuntime(18938): 	at android.view.ViewRootImpl$InputStage.apply(ViewRootImpl.java:3450)
E/AndroidRuntime(18938): 	at android.view.ViewRootImpl$AsyncInputStage.apply(ViewRootImpl.java:3606)
E/AndroidRuntime(18938): 	at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3423)
E/AndroidRuntime(18938): 	at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:3473)
E/AndroidRuntime(18938): 	at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:3442)
E/AndroidRuntime(18938): 	at android.view.ViewRootImpl$InputStage.apply(ViewRootImpl.java:3450)
E/AndroidRuntime(18938): 	at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3423)
E/AndroidRuntime(18938): 	at android.view.ViewRootImpl.deliverInputEvent(ViewRootImpl.java:5626)
E/AndroidRuntime(18938): 	at android.view.ViewRootImpl.doProcessInputEvents(ViewRootImpl.java:5606)
E/AndroidRuntime(18938): 	at android.view.ViewRootImpl.enqueueInputEvent(ViewRootImpl.java:5577)
E/AndroidRuntime(18938): 	at android.view.ViewRootImpl$WindowInputEventReceiver.onInputEvent(ViewRootImpl.java:5706)
E/AndroidRuntime(18938): 	at android.view.InputEventReceiver.dispatchInputEvent(InputEventReceiver.java:185)
E/AndroidRuntime(18938): 	at android.os.MessageQueue.nativePollOnce(Native Method)
E/AndroidRuntime(18938): 	at android.os.MessageQueue.next(MessageQueue.java:138)
E/AndroidRuntime(18938): 	at android.os.Looper.loop(Looper.java:123)
E/AndroidRuntime(18938): 	at android.app.ActivityThread.main(ActivityThread.java:5019)
E/AndroidRuntime(18938): 	at java.lang.reflect.Method.invokeNative(Native Method)
E/AndroidRuntime(18938): 	at java.lang.reflect.Method.invoke(Method.java:515)
E/AndroidRuntime(18938): 	at com.android.internal.os.Zy
W/ActivityManager(  470): Force-killing crashed app ipnossoft.rma.free at watcher's request
W/ContextImpl(  470): Calling a method in the system process without a qualified user: android.app.ContextImpl.sendBroadcast:1123 com.android.server.am.ActivityManagerService.handleApplicationCrashInner:9642 com.android.server.am.ActivityManagerService.handleApplicationCrash:9616 android.app.ActivityManagerNative.onTransact:1311 com.android.server.am.ActivityManagerService.onTransact:2071 
I/ActivityManager(  470): Process ipnossoft.rma.free (pid 18938) has died.
I/WindowState(  470): WIN DEATH: Window{4b1ee6c4 u0 ipnossoft.rma.free/ipnossoft.rma.RelaxMelodiesActivityFree}
W/NetworkManagementSocketTagger(  470): setKernelCountSet(10076, 0) failed with errno -13
I/InputDispatcher(  470): Dropping event because there is no focused window or focused application.
I/InputDispatcher(  470): Dropping event because there is no focused window or focused application.
I/InputDispatcher(  470): Dropping event because there is no focused window or focused application.
I/InputDispatcher(  470): Dropping event because there is no focused window or focused application.
I/InputDispatcher(  470): Dropping event because there is no focused window or focused application.
I/InputDispatcher(  470): Dropping event because there is no focused window or focused application.
I/InputDispatcher(  470): Dropping event because there is no focused window or focused application.
I/InputDispatcher(  470): Dropping event because there is no focused window or focused application.
I/InputDispatcher(  470): Dropping event because there is no focused window or focused application.
I/InputDispatcher(  470): Dropping event because there is no focused window or focused application.
W/ActivityManager(  470): Force removing ActivityRecord{4a8dd7d4 u0 ipnossoft.rma.free/ipnossoft.rma.RelaxMelodiesActivityFree t124}: app died, no saved state
W/InputManager(  470): Input event injection from pid 18928 failed.
W/InputManager(  470): Input event injection from pid 18928 failed.
W/InputManager(  470): Input event injection from pid 18928 failed.
W/InputManager(  470): Input event injection from pid 18928 failed.
W/InputManager(  470): Input event injection from pid 18928 failed.
W/InputManager(  470): Input event injection from pid 18928 failed.
W/InputManager(  470): Input event injection from pid 18928 failed.
W/InputManager(  470): Input event injection from pid 18928 failed.
W/InputManager(  470): Input event injection from pid 18928 failed.
W/InputManager(  470): Input event injection from pid 18928 failed.
W/InputManager(  470): Input event injection from pid 18928 failed.
W/InputManager(  470): Input event injection from pid 18928 failed.
W/InputManager(  470): Input event injection from pid 18928 failed.
W/InputManager(  470): Input event injection from pid 18928 failed.
W/InputManager(  470): Input event injection from pid 18928 failed.
W/InputManager(  470): Input event injection from pid 18928 failed.
W/InputManager(  470): Input event injection from pid 18928 failed.
W/InputManager(  470): Input event injection from pid 18928 failed.
W/InputManager(  470): Input event injection from pid 18928 failed.
I/ActivityManager(  470): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=ipnossoft.rma.free/ipnossoft.rma.RelaxMelodiesActivityFree} from pid 18928
D/FirebaseApp(10668): Notifying background state change listeners.
W/Launcher(10668): setApplicationContext called twice! old=com.vphone.launcher.LauncherApplicationEx@4a7b2a28 new=com.vphone.launcher.LauncherApplicationEx@4a7b2a28
W/ResourceType(10668): Attempt to retrieve bag 0x7f0b0001 which is invalid or in a cycle.
D/Launcher(10668): 11683562 - bindAddScreens()
D/Launcher(10668): 11683562 -   orderedScreenIds: 1
D/Launcher.Workspace(10668): 11683562 - insertNewWorkspaceScreen(): 1 at index: 0
W/ContextImpl(10668): Calling a method in the system process without a qualified user: android.app.ContextImpl.startService:1492 android.content.ContextWrapper.startService:494 com.vphone.launcher.Launcher.h:664 com.vphone.launcher.Launcher.b:180 com.vphone.launcher.Launcher$11.run:646 
D/Launcher.Model(10668): 11683562 - loadWorkspaceScreensDb()
D/Launcher.Model(10668): 11683562 -   screens: { 0: 1 }
W/DebugConnManager(10668): getNetworkInfo() on networkType 1
D/Launcher.Model(10668): 11683562 - updateWorkspaceScreenOrder()
D/Launcher.Model(10668): 11683562 -   screens: 1
D/yeshen  (10668): launcher onpause
W/NetworkManagementSocketTagger(  470): setKernelCountSet(10076, 1) failed with errno -13
I/ActivityManager(  470): Start proc ipnossoft.rma.free for activity ipnossoft.rma.free/ipnossoft.rma.RelaxMelodiesActivityFree: pid=18980 uid=10076 gids={50076, 3003, 1028, 1015, 1023}
I/dalvikvm(18980): ignoring registerObject request in thread=1
I/dalvikvm(18980): ignoring registerObject request in thread=1
I/Launcher(10668): Deferring update until onResume
D/dalvikvm(18980): JIT code cache reset in 0 ms (0 bytes 1/0)
D/dalvikvm(18980): GC_FOR_ALLOC freed 79K, 5% free 2914K/3056K, paused 3ms, total 3ms
I/dalvikvm-heap(18980): Grow heap (frag case) to 4.369MB for 1536012-byte allocation
D/dalvikvm(18980): GC_CONCURRENT freed 0K, 4% free 4414K/4560K, paused 1ms+0ms, total 3ms
V/WebViewChromium(18980): Binding Chromium to the main looper Looper (main, tid 1) {4a7ad548}
I/chromium(18980): [INFO:library_loader_hooks.cc(112)] Chromium logging enabled: level = 0, default verbosity = 0
I/BrowserProcessMain(18980): Initializing chromium process, renderers=0
W/chromium(18980): [WARNING:proxy_service.cc(888)] PAC support disabled because there is no system implementation
D/libEGL  (18980): loaded /system/lib/egl/libEGL_adreno.so
D/        (18980): HostConnection::get() New Host Connection established 0xb8e5d9b0, tid 18980
